User	Sim	Time	Index	User or Model	Component	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	diff in parsed table	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
13122150	beers-law-lab	13.95	1530	model	sim	updating state			True	514	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.96	1534	user	sim	dragged	wavelengthControls	increasing	True	514	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.98	1536	model	sim	updating state			True	518	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.98	1539	user	sim	dragged	wavelengthControls		True	518	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.99	1543	user	sim	dragged	wavelengthControls	increasing	True	518	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.02	1545	model	sim	updating state			True	523	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.02	1548	user	sim	dragged	wavelengthControls	increasing	True	523	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.03	1550	model	sim	updating state			True	528	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.03	1553	user	sim	dragged	wavelengthControls	increasing	True	528	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.05	1556	user	sim	dragged	wavelengthControls	increasing	True	528	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.05	1558	model	sim	updating state			True	538	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.06	1562	user	sim	dragged	wavelengthControls		True	538	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.14	1569	user	sim	dragged	wavelengthControls	increasing	True	538	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.15	1571	model	sim	updating state			True	543	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.16	1575	user	sim	dragged	wavelengthControls	decreasing	True	543	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.18	1577	model	sim	updating state			True	528	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.19	1580	user	sim	dragged	wavelengthControls		True	528	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.22	1585	user	sim	dragged	wavelengthControls		True	528	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.23	1588	user	sim	dragged	wavelengthControls	increasing	True	528	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.23	1590	model	sim	updating state			True	533	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.34	1599	user	sim	dragged	wavelengthControls	increasing	True	533	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.35	1601	model	sim	updating state			True	538	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.35	1604	user	sim	dragged	wavelengthControls	increasing	True	538	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.36	1606	model	sim	updating state			True	543	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.38	1610	user	sim	dragged	wavelengthControls	increasing	True	543	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.4	1612	model	sim	updating state			True	547	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.4	1615	user	sim	dragged	wavelengthControls		True	547	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.41	1619	user	sim	dragged	wavelengthControls	increasing	True	547	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	14.43	1622	user	sim	dragged	wavelengthControls	increasing	True	547	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
